HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Germany,Romania,2004,1,1,2
Portugal,England,2004,3,2,5
Romania,Portugal,2004,0,1,1
England,Germany,2004,1,0,1
England,Romania,2004,2,3,5
Portugal,Germany,2004,3,0,3
Belgium,Sweden,2004,2,1,3
Turkey,Italy,2004,1,2,3
Italy,Belgium,2004,2,0,2
Sweden,Turkey,2004,0,0,0
Turkey,Belgium,2004,2,0,2
Italy,Sweden,2004,2,1,3
Spain,Norway,2004,0,1,1
FR,vs,2004,3,3,6
Slovenia,Spain,2004,1,2,3
Norway,FR,2004,0,1,1
FR,vs,2004,3,4,7
Slovenia,Norway,2004,0,0,0
France,Denmark,2004,3,0,3
Netherlands,Czech,2004,1,0,1
Czech,vs,2004,1,2,3
Denmark,Netherlands,2004,0,3,3
Denmark,Czech,2004,0,2,2
France,Netherlands,2004,2,3,5
Turkey,Portugal,2004,0,2,2
Italy,Romania,2004,2,0,2
Netherlands,FR,2004,6,1,7
Spain,France,2004,1,2,3
France,Portugal,2004,2,1,3
Italy,Netherlands,2004,0,0,0
Greece,Portugal,2004,2,1,3
Portugal,Greece,2004,1,2,3
Spain,Russia,2004,1,0,1
Greece,Spain,2004,1,1,2
Russia,Portugal,2004,0,2,2
Spain,Portugal,2004,0,1,1
Russia,Greece,2004,2,1,3
Switzerland,Croatia,2004,0,0,0
France,England,2004,2,1,3
England,Switzerland,2004,3,0,3
Croatia,France,2004,2,2,4
Croatia,England,2004,2,4,6
Switzerland,France,2004,1,3,4
Denmark,Italy,2004,0,0,0
Sweden,Bulgaria,2004,5,0,5
Bulgaria,Denmark,2004,0,2,2
Italy,Sweden,2004,1,1,2
Italy,Bulgaria,2004,2,1,3
Denmark,Sweden,2004,2,2,4
Czech,vs,2004,2,1,3
Germany,Netherlands,2004,1,1,2
Latvia,Germany,2004,0,0,0
Netherlands,Czech,2004,2,3,5
Netherlands,Latvia,2004,3,0,3
Germany,Czech,2004,1,2,3
Portugal,England,2004,2,2,4
France,Greece,2004,0,1,1
Sweden,Netherlands,2004,0,0,0
Czech,vs,2004,3,0,3
Portugal,Netherlands,2004,2,1,3
Greece,Czech,2004,1,0,1
Germany,Romania,2008,1,1,2
Portugal,England,2008,3,2,5
Romania,Portugal,2008,0,1,1
England,Germany,2008,1,0,1
England,Romania,2008,2,3,5
Portugal,Germany,2008,3,0,3
Belgium,Sweden,2008,2,1,3
Turkey,Italy,2008,1,2,3
Italy,Belgium,2008,2,0,2
Sweden,Turkey,2008,0,0,0
Turkey,Belgium,2008,2,0,2
Italy,Sweden,2008,2,1,3
Spain,Norway,2008,0,1,1
FR,vs,2008,3,3,6
Slovenia,Spain,2008,1,2,3
Norway,FR,2008,0,1,1
FR,vs,2008,3,4,7
Slovenia,Norway,2008,0,0,0
France,Denmark,2008,3,0,3
Netherlands,Czech,2008,1,0,1
Czech,vs,2008,1,2,3
Denmark,Netherlands,2008,0,3,3
Denmark,Czech,2008,0,2,2
France,Netherlands,2008,2,3,5
Turkey,Portugal,2008,0,2,2
Italy,Romania,2008,2,0,2
Netherlands,FR,2008,6,1,7
Spain,France,2008,1,2,3
France,Portugal,2008,2,1,3
Italy,Netherlands,2008,0,0,0
Spain,Germany,2008,2,1,3
Portugal,Greece,2008,1,2,3
Spain,Russia,2008,1,0,1
Greece,Spain,2008,1,1,2
Russia,Portugal,2008,0,2,2
Spain,Portugal,2008,0,1,1
Russia,Greece,2008,2,1,3
Switzerland,Croatia,2008,0,0,0
France,England,2008,2,1,3
England,Switzerland,2008,3,0,3
Croatia,France,2008,2,2,4
Croatia,England,2008,2,4,6
Switzerland,France,2008,1,3,4
Denmark,Italy,2008,0,0,0
Sweden,Bulgaria,2008,5,0,5
Bulgaria,Denmark,2008,0,2,2
Italy,Sweden,2008,1,1,2
Italy,Bulgaria,2008,2,1,3
Denmark,Sweden,2008,2,2,4
Czech,vs,2008,2,1,3
Germany,Netherlands,2008,1,1,2
Latvia,Germany,2008,0,0,0
Netherlands,Czech,2008,2,3,5
Netherlands,Latvia,2008,3,0,3
Germany,Czech,2008,1,2,3
Portugal,England,2008,2,2,4
France,Greece,2008,0,1,1
Sweden,Netherlands,2008,0,0,0
Czech,vs,2008,3,0,3
Portugal,Netherlands,2008,2,1,3
Greece,Czech,2008,1,0,1
Switzerland,Czech,2008,0,1,1
Portugal,Turkey,2008,2,0,2
Czech,vs,2008,1,3,4
Switzerland,Turkey,2008,1,2,3
Switzerland,Portugal,2008,2,0,2
Turkey,Czech,2008,3,2,5
Austria,Croatia,2008,0,1,1
Germany,Poland,2008,2,0,2
Croatia,Germany,2008,2,1,3
Austria,Poland,2008,1,1,2
Poland,Croatia,2008,0,1,1
Austria,Germany,2008,0,1,1
Romania,France,2008,0,0,0
Netherlands,Italy,2008,3,0,3
Italy,Romania,2008,1,1,2
Netherlands,France,2008,4,1,5
Netherlands,Romania,2008,2,0,2
France,Italy,2008,0,2,2
Spain,Russia,2008,4,1,5
Greece,Sweden,2008,0,2,2
Sweden,Spain,2008,1,2,3
Greece,Russia,2008,0,1,1
Greece,Spain,2008,1,2,3
Russia,Sweden,2008,2,0,2
Portugal,Germany,2008,2,3,5
Croatia,Turkey,2008,1,1,2
Netherlands,Russia,2008,1,3,4
Spain,Italy,2008,0,0,0
Germany,Turkey,2008,3,2,5
Russia,Spain,2008,0,3,3
Germany,Romania,2012,1,1,2
Portugal,England,2012,3,2,5
Romania,Portugal,2012,0,1,1
England,Germany,2012,1,0,1
England,Romania,2012,2,3,5
Portugal,Germany,2012,3,0,3
Belgium,Sweden,2012,2,1,3
Turkey,Italy,2012,1,2,3
Italy,Belgium,2012,2,0,2
Sweden,Turkey,2012,0,0,0
Turkey,Belgium,2012,2,0,2
Italy,Sweden,2012,2,1,3
Spain,Norway,2012,0,1,1
FR,vs,2012,3,3,6
Slovenia,Spain,2012,1,2,3
Norway,FR,2012,0,1,1
FR,vs,2012,3,4,7
Slovenia,Norway,2012,0,0,0
France,Denmark,2012,3,0,3
Netherlands,Czech,2012,1,0,1
Czech,vs,2012,1,2,3
Denmark,Netherlands,2012,0,3,3
Denmark,Czech,2012,0,2,2
France,Netherlands,2012,2,3,5
Turkey,Portugal,2012,0,2,2
Italy,Romania,2012,2,0,2
Netherlands,FR,2012,6,1,7
Spain,France,2012,1,2,3
France,Portugal,2012,2,1,3
Italy,Netherlands,2012,0,0,0
Spain,Italy,2012,2,1,3
Portugal,Greece,2012,1,2,3
Spain,Russia,2012,1,0,1
Greece,Spain,2012,1,1,2
Russia,Portugal,2012,0,2,2
Spain,Portugal,2012,0,1,1
Russia,Greece,2012,2,1,3
Switzerland,Croatia,2012,0,0,0
France,England,2012,2,1,3
England,Switzerland,2012,3,0,3
Croatia,France,2012,2,2,4
Croatia,England,2012,2,4,6
Switzerland,France,2012,1,3,4
Denmark,Italy,2012,0,0,0
Sweden,Bulgaria,2012,5,0,5
Bulgaria,Denmark,2012,0,2,2
Italy,Sweden,2012,1,1,2
Italy,Bulgaria,2012,2,1,3
Denmark,Sweden,2012,2,2,4
Czech,vs,2012,2,1,3
Germany,Netherlands,2012,1,1,2
Latvia,Germany,2012,0,0,0
Netherlands,Czech,2012,2,3,5
Netherlands,Latvia,2012,3,0,3
Germany,Czech,2012,1,2,3
Portugal,England,2012,2,2,4
France,Greece,2012,0,1,1
Sweden,Netherlands,2012,0,0,0
Czech,vs,2012,3,0,3
Portugal,Netherlands,2012,2,1,3
Greece,Czech,2012,1,0,1
Switzerland,Czech,2012,0,1,1
Portugal,Turkey,2012,2,0,2
Czech,vs,2012,1,3,4
Switzerland,Turkey,2012,1,2,3
Switzerland,Portugal,2012,2,0,2
Turkey,Czech,2012,3,2,5
Austria,Croatia,2012,0,1,1
Germany,Poland,2012,2,0,2
Croatia,Germany,2012,2,1,3
Austria,Poland,2012,1,1,2
Poland,Croatia,2012,0,1,1
Austria,Germany,2012,0,1,1
Romania,France,2012,0,0,0
Netherlands,Italy,2012,3,0,3
Italy,Romania,2012,1,1,2
Netherlands,France,2012,4,1,5
Netherlands,Romania,2012,2,0,2
France,Italy,2012,0,2,2
Spain,Russia,2012,4,1,5
Greece,Sweden,2012,0,2,2
Sweden,Spain,2012,1,2,3
Greece,Russia,2012,0,1,1
Greece,Spain,2012,1,2,3
Russia,Sweden,2012,2,0,2
Portugal,Germany,2012,2,3,5
Croatia,Turkey,2012,1,1,2
Netherlands,Russia,2012,1,3,4
Spain,Italy,2012,0,0,0
Germany,Turkey,2012,3,2,5
Russia,Spain,2012,0,3,3
Poland,Greece,2012,1,1,2
Russia,Czech,2012,4,1,5
Greece,Czech,2012,1,2,3
Poland,Russia,2012,1,1,2
Czech,vs,2012,1,0,1
Greece,Russia,2012,1,0,1
Netherlands,Denmark,2012,0,1,1
Germany,Portugal,2012,1,0,1
Denmark,Portugal,2012,2,3,5
Netherlands,Germany,2012,1,2,3
Portugal,Netherlands,2012,2,1,3
Denmark,Germany,2012,1,2,3
Spain,Italy,2012,1,1,2
Republic,Ireland,2012,1,3,4
Italy,Croatia,2012,1,1,2
Spain,Republic,2012,4,0,4
Croatia,Spain,2012,0,1,1
Italy,Republic,2012,2,0,2
France,England,2012,1,1,2
Ukraine,Sweden,2012,2,1,3
Ukraine,France,2012,0,2,2
Sweden,England,2012,2,3,5
England,Ukraine,2012,1,0,1
Sweden,France,2012,2,0,2
Czech,vs,2012,0,1,1
Germany,Greece,2012,4,2,6
Spain,France,2012,2,0,2
England,Italy,2012,0,0,0
Portugal,Spain,2012,0,0,0
Germany,Italy,2012,1,2,3
Germany,Romania,2016,1,1,2
Portugal,England,2016,3,2,5
Romania,Portugal,2016,0,1,1
England,Germany,2016,1,0,1
England,Romania,2016,2,3,5
Portugal,Germany,2016,3,0,3
Belgium,Sweden,2016,2,1,3
Turkey,Italy,2016,1,2,3
Italy,Belgium,2016,2,0,2
Sweden,Turkey,2016,0,0,0
Turkey,Belgium,2016,2,0,2
Italy,Sweden,2016,2,1,3
Spain,Norway,2016,0,1,1
FR,vs,2016,3,3,6
Slovenia,Spain,2016,1,2,3
Norway,FR,2016,0,1,1
FR,vs,2016,3,4,7
Slovenia,Norway,2016,0,0,0
France,Denmark,2016,3,0,3
Netherlands,Czech,2016,1,0,1
Czech,vs,2016,1,2,3
Denmark,Netherlands,2016,0,3,3
Denmark,Czech,2016,0,2,2
France,Netherlands,2016,2,3,5
Turkey,Portugal,2016,0,2,2
Italy,Romania,2016,2,0,2
Netherlands,FR,2016,6,1,7
Spain,France,2016,1,2,3
France,Portugal,2016,2,1,3
Italy,Netherlands,2016,0,0,0
Portugal,Greece,2016,1,2,3
Spain,Russia,2016,1,0,1
Greece,Spain,2016,1,1,2
Russia,Portugal,2016,0,2,2
Spain,Portugal,2016,0,1,1
Russia,Greece,2016,2,1,3
Switzerland,Croatia,2016,0,0,0
France,England,2016,2,1,3
England,Switzerland,2016,3,0,3
Croatia,France,2016,2,2,4
Croatia,England,2016,2,4,6
Switzerland,France,2016,1,3,4
Denmark,Italy,2016,0,0,0
Sweden,Bulgaria,2016,5,0,5
Bulgaria,Denmark,2016,0,2,2
Italy,Sweden,2016,1,1,2
Italy,Bulgaria,2016,2,1,3
Denmark,Sweden,2016,2,2,4
Czech,vs,2016,2,1,3
Germany,Netherlands,2016,1,1,2
Latvia,Germany,2016,0,0,0
Netherlands,Czech,2016,2,3,5
Netherlands,Latvia,2016,3,0,3
Germany,Czech,2016,1,2,3
Portugal,England,2016,2,2,4
France,Greece,2016,0,1,1
Sweden,Netherlands,2016,0,0,0
Czech,vs,2016,3,0,3
Portugal,Netherlands,2016,2,1,3
Greece,Czech,2016,1,0,1
Switzerland,Czech,2016,0,1,1
Portugal,Turkey,2016,2,0,2
Czech,vs,2016,1,3,4
Switzerland,Turkey,2016,1,2,3
Switzerland,Portugal,2016,2,0,2
Turkey,Czech,2016,3,2,5
Austria,Croatia,2016,0,1,1
Germany,Poland,2016,2,0,2
Croatia,Germany,2016,2,1,3
Austria,Poland,2016,1,1,2
Poland,Croatia,2016,0,1,1
Austria,Germany,2016,0,1,1
Romania,France,2016,0,0,0
Netherlands,Italy,2016,3,0,3
Italy,Romania,2016,1,1,2
Netherlands,France,2016,4,1,5
Netherlands,Romania,2016,2,0,2
France,Italy,2016,0,2,2
Spain,Russia,2016,4,1,5
Greece,Sweden,2016,0,2,2
Sweden,Spain,2016,1,2,3
Greece,Russia,2016,0,1,1
Greece,Spain,2016,1,2,3
Russia,Sweden,2016,2,0,2
Portugal,Germany,2016,2,3,5
Croatia,Turkey,2016,1,1,2
Netherlands,Russia,2016,1,3,4
Spain,Italy,2016,0,0,0
Germany,Turkey,2016,3,2,5
Russia,Spain,2016,0,3,3
Poland,Greece,2016,1,1,2
Russia,Czech,2016,4,1,5
Greece,Czech,2016,1,2,3
Poland,Russia,2016,1,1,2
Czech,vs,2016,1,0,1
Greece,Russia,2016,1,0,1
Netherlands,Denmark,2016,0,1,1
Germany,Portugal,2016,1,0,1
Denmark,Portugal,2016,2,3,5
Netherlands,Germany,2016,1,2,3
Portugal,Netherlands,2016,2,1,3
Denmark,Germany,2016,1,2,3
Spain,Italy,2016,1,1,2
Republic,Ireland,2016,1,3,4
Italy,Croatia,2016,1,1,2
Spain,Republic,2016,4,0,4
Croatia,Spain,2016,0,1,1
Italy,Republic,2016,2,0,2
France,England,2016,1,1,2
Ukraine,Sweden,2016,2,1,3
Ukraine,France,2016,0,2,2
Sweden,England,2016,2,3,5
England,Ukraine,2016,1,0,1
Sweden,France,2016,2,0,2
Czech,vs,2016,0,1,1
Germany,Greece,2016,4,2,6
Spain,France,2016,2,0,2
England,Italy,2016,0,0,0
Portugal,Spain,2016,0,0,0
Germany,Italy,2016,1,2,3
France,Romania,2016,2,1,3
Albania,Switzerland,2016,0,1,1
Romania,Switzerland,2016,1,1,2
France,Albania,2016,2,0,2
Romania,Albania,2016,0,1,1
Switzerland,France,2016,0,0,0
Wales,Slovakia,2016,2,1,3
England,Russia,2016,1,1,2
Russia,Slovakia,2016,1,2,3
England,Wales,2016,2,1,3
Russia,Wales,2016,0,3,3
Slovakia,England,2016,0,0,0
Poland,Northern,2016,1,0,1
Germany,Ukraine,2016,2,0,2
Ukraine,Northern,2016,0,2,2
Germany,Poland,2016,0,0,0
Ukraine,Poland,2016,0,1,1
Northern,vs,2016,0,1,1
Turkey,Croatia,2016,0,1,1
Spain,Czech,2016,1,0,1
Czech,vs,2016,2,2,4
Spain,Turkey,2016,3,0,3
Czech,vs,2016,0,2,2
Croatia,Spain,2016,2,1,3
Republic,Ireland,2016,1,1,2
Belgium,Italy,2016,0,2,2
Italy,Sweden,2016,1,0,1
Belgium,Republic,2016,3,0,3
Italy,Republic,2016,0,1,1
Sweden,Belgium,2016,0,1,1
Austria,Hungary,2016,0,2,2
Portugal,Iceland,2016,1,1,2
Iceland,Hungary,2016,1,1,2
Portugal,Austria,2016,0,0,0
Iceland,Austria,2016,2,1,3
Hungary,Portugal,2016,3,3,6
Switzerland,Poland,2016,1,1,2
Wales,Northern,2016,1,0,1
Croatia,Portugal,2016,0,1,1
France,Republic,2016,2,1,3
Germany,Slovakia,2016,3,0,3
Hungary,Belgium,2016,0,4,4
Italy,Spain,2016,2,0,2
England,Iceland,2016,1,2,3
Poland,Portugal,2016,1,1,2
Wales,Belgium,2016,3,1,4
Germany,Italy,2016,1,1,2
France,Iceland,2016,5,2,7
Portugal,Wales,2016,2,0,2
Germany,France,2016,0,2,2
Portugal,France,2016,1,0,1
Germany,Romania,2020,1,1,2
Portugal,England,2020,3,2,5
Romania,Portugal,2020,0,1,1
England,Germany,2020,1,0,1
England,Romania,2020,2,3,5
Portugal,Germany,2020,3,0,3
Belgium,Sweden,2020,2,1,3
Turkey,Italy,2020,1,2,3
Italy,Belgium,2020,2,0,2
Sweden,Turkey,2020,0,0,0
Turkey,Belgium,2020,2,0,2
Italy,Sweden,2020,2,1,3
Spain,Norway,2020,0,1,1
FR,vs,2020,3,3,6
Slovenia,Spain,2020,1,2,3
Norway,FR,2020,0,1,1
FR,vs,2020,3,4,7
Slovenia,Norway,2020,0,0,0
France,Denmark,2020,3,0,3
Netherlands,Czech,2020,1,0,1
Czech,vs,2020,1,2,3
Denmark,Netherlands,2020,0,3,3
Denmark,Czech,2020,0,2,2
France,Netherlands,2020,2,3,5
Turkey,Portugal,2020,0,2,2
Italy,Romania,2020,2,0,2
Netherlands,FR,2020,6,1,7
Spain,France,2020,1,2,3
France,Portugal,2020,2,1,3
Italy,Netherlands,2020,0,0,0
Italy,England,2020,2,1,3
Portugal,Greece,2020,1,2,3
Spain,Russia,2020,1,0,1
Greece,Spain,2020,1,1,2
Russia,Portugal,2020,0,2,2
Spain,Portugal,2020,0,1,1
Russia,Greece,2020,2,1,3
Switzerland,Croatia,2020,0,0,0
France,England,2020,2,1,3
England,Switzerland,2020,3,0,3
Croatia,France,2020,2,2,4
Croatia,England,2020,2,4,6
Switzerland,France,2020,1,3,4
Denmark,Italy,2020,0,0,0
Sweden,Bulgaria,2020,5,0,5
Bulgaria,Denmark,2020,0,2,2
Italy,Sweden,2020,1,1,2
Italy,Bulgaria,2020,2,1,3
Denmark,Sweden,2020,2,2,4
Czech,vs,2020,2,1,3
Germany,Netherlands,2020,1,1,2
Latvia,Germany,2020,0,0,0
Netherlands,Czech,2020,2,3,5
Netherlands,Latvia,2020,3,0,3
Germany,Czech,2020,1,2,3
Portugal,England,2020,2,2,4
France,Greece,2020,0,1,1
Sweden,Netherlands,2020,0,0,0
Czech,vs,2020,3,0,3
Portugal,Netherlands,2020,2,1,3
Greece,Czech,2020,1,0,1
Switzerland,Czech,2020,0,1,1
Portugal,Turkey,2020,2,0,2
Czech,vs,2020,1,3,4
Switzerland,Turkey,2020,1,2,3
Switzerland,Portugal,2020,2,0,2
Turkey,Czech,2020,3,2,5
Austria,Croatia,2020,0,1,1
Germany,Poland,2020,2,0,2
Croatia,Germany,2020,2,1,3
Austria,Poland,2020,1,1,2
Poland,Croatia,2020,0,1,1
Austria,Germany,2020,0,1,1
Romania,France,2020,0,0,0
Netherlands,Italy,2020,3,0,3
Italy,Romania,2020,1,1,2
Netherlands,France,2020,4,1,5
Netherlands,Romania,2020,2,0,2
France,Italy,2020,0,2,2
Spain,Russia,2020,4,1,5
Greece,Sweden,2020,0,2,2
Sweden,Spain,2020,1,2,3
Greece,Russia,2020,0,1,1
Greece,Spain,2020,1,2,3
Russia,Sweden,2020,2,0,2
Portugal,Germany,2020,2,3,5
Croatia,Turkey,2020,1,1,2
Netherlands,Russia,2020,1,3,4
Spain,Italy,2020,0,0,0
Germany,Turkey,2020,3,2,5
Russia,Spain,2020,0,3,3
Poland,Greece,2020,1,1,2
Russia,Czech,2020,4,1,5
Greece,Czech,2020,1,2,3
Poland,Russia,2020,1,1,2
Czech,vs,2020,1,0,1
Greece,Russia,2020,1,0,1
Netherlands,Denmark,2020,0,1,1
Germany,Portugal,2020,1,0,1
Denmark,Portugal,2020,2,3,5
Netherlands,Germany,2020,1,2,3
Portugal,Netherlands,2020,2,1,3
Denmark,Germany,2020,1,2,3
Spain,Italy,2020,1,1,2
Republic,Ireland,2020,1,3,4
Italy,Croatia,2020,1,1,2
Spain,Republic,2020,4,0,4
Croatia,Spain,2020,0,1,1
Italy,Republic,2020,2,0,2
France,England,2020,1,1,2
Ukraine,Sweden,2020,2,1,3
Ukraine,France,2020,0,2,2
Sweden,England,2020,2,3,5
England,Ukraine,2020,1,0,1
Sweden,France,2020,2,0,2
Czech,vs,2020,0,1,1
Germany,Greece,2020,4,2,6
Spain,France,2020,2,0,2
England,Italy,2020,0,0,0
Portugal,Spain,2020,0,0,0
Germany,Italy,2020,1,2,3
France,Romania,2020,2,1,3
Albania,Switzerland,2020,0,1,1
Romania,Switzerland,2020,1,1,2
France,Albania,2020,2,0,2
Romania,Albania,2020,0,1,1
Switzerland,France,2020,0,0,0
Wales,Slovakia,2020,2,1,3
England,Russia,2020,1,1,2
Russia,Slovakia,2020,1,2,3
England,Wales,2020,2,1,3
Russia,Wales,2020,0,3,3
Slovakia,England,2020,0,0,0
Poland,Northern,2020,1,0,1
Germany,Ukraine,2020,2,0,2
Ukraine,Northern,2020,0,2,2
Germany,Poland,2020,0,0,0
Ukraine,Poland,2020,0,1,1
Northern,vs,2020,0,1,1
Turkey,Croatia,2020,0,1,1
Spain,Czech,2020,1,0,1
Czech,vs,2020,2,2,4
Spain,Turkey,2020,3,0,3
Czech,vs,2020,0,2,2
Croatia,Spain,2020,2,1,3
Republic,Ireland,2020,1,1,2
Belgium,Italy,2020,0,2,2
Italy,Sweden,2020,1,0,1
Belgium,Republic,2020,3,0,3
Italy,Republic,2020,0,1,1
Sweden,Belgium,2020,0,1,1
Austria,Hungary,2020,0,2,2
Portugal,Iceland,2020,1,1,2
Iceland,Hungary,2020,1,1,2
Portugal,Austria,2020,0,0,0
Iceland,Austria,2020,2,1,3
Hungary,Portugal,2020,3,3,6
Switzerland,Poland,2020,1,1,2
Wales,Northern,2020,1,0,1
Croatia,Portugal,2020,0,1,1
France,Republic,2020,2,1,3
Germany,Slovakia,2020,3,0,3
Hungary,Belgium,2020,0,4,4
Italy,Spain,2020,2,0,2
England,Iceland,2020,1,2,3
Poland,Portugal,2020,1,1,2
Wales,Belgium,2020,3,1,4
Germany,Italy,2020,1,1,2
France,Iceland,2020,5,2,7
Portugal,Wales,2020,2,0,2
Germany,France,2020,0,2,2
Turkey,Italy,2020,0,3,3
Wales,Switzerland,2020,1,1,2
Turkey,Wales,2020,0,2,2
Italy,Switzerland,2020,3,0,3
Switzerland,Turkey,2020,3,1,4
Italy,Wales,2020,1,0,1
Denmark,Finland,2020,0,1,1
Belgium,Russia,2020,3,0,3
Finland,Russia,2020,0,1,1
Denmark,Belgium,2020,1,2,3
Russia,Denmark,2020,1,4,5
Finland,Belgium,2020,0,2,2
Austria,North,2020,3,1,4
Netherlands,Ukraine,2020,3,2,5
Ukraine,North,2020,2,1,3
Netherlands,Austria,2020,2,0,2
North,vs,2020,0,3,3
Ukraine,Austria,2020,0,1,1
England,Croatia,2020,1,0,1
Scotland,Czech,2020,0,2,2
Croatia,Czech,2020,1,1,2
England,Scotland,2020,0,0,0
Croatia,Scotland,2020,3,1,4
Czech,vs,2020,0,1,1
Poland,Slovakia,2020,1,2,3
Spain,Sweden,2020,0,0,0
Sweden,Slovakia,2020,1,0,1
Spain,Poland,2020,1,1,2
Slovakia,Spain,2020,0,5,5
Sweden,Poland,2020,3,2,5
Hungary,Portugal,2020,0,3,3
France,Germany,2020,1,0,1
Hungary,France,2020,1,1,2
Portugal,Germany,2020,2,4,6
Portugal,France,2020,2,2,4
Germany,Hungary,2020,2,2,4
Wales,Denmark,2020,0,4,4
Italy,Austria,2020,2,1,3
Netherlands,Czech,2020,0,2,2
Belgium,Portugal,2020,1,0,1
Croatia,Spain,2020,3,5,8
France,Switzerland,2020,3,3,6
England,Germany,2020,2,0,2
Sweden,Ukraine,2020,1,2,3
Switzerland,Spain,2020,1,1,2
Belgium,Italy,2020,1,2,3
Czech,vs,2020,1,2,3
Ukraine,England,2020,0,4,4
Italy,Spain,2020,1,1,2
England,Denmark,2020,2,1,3
